year,precip_mm,z_score,climate_regime
1993,2646.9,-0.4830018926434004,Normal
1994,2280.9,-1.4582197938307258,Drought
1995,2533.9,-0.7840937583105254,Drought
1996,3142.4,0.8372726156580195,Flood
1997,2291.9,-1.4289099661994127,Drought
1998,3532.5,1.8767056846557668,Flood
1999,2466.0,-0.9650153306892671,Drought
2000,2403.5,-1.1315484422308186,Drought
2001,2904.8,0.20418033882165776,Normal
2002,2128.0,-1.8656263979059773,Drought
2003,3089.9,0.6973848019631163,Flood
2004,2470.2,-0.9538243055936754,Drought
2005,2407.3,-1.1214232290490918,Drought
2006,2695.7,-0.35297283915175776,Normal
2007,2959.9,0.35099592995668927,Normal
2008,2772.3,-0.14886985764643132,Normal
2009,3287.2,1.223096528477485,Flood
2010,3154.2,0.8687140671170637,Flood
2011,2684.7,-0.38228266678307077,Normal
2012,3314.3,1.295305285641903,Flood
2013,3098.1,0.7192339461973674,Flood
2014,3130.4,0.8052982582420416,Flood
2015,3035.3,0.5519014757204171,Flood
2016,2206.3,-1.6569937157667212,Drought
2017,3145.9,0.8465984699043464,Flood
2018,3036.9,0.5561647233758806,Flood
2019,3139.0,0.8282132143901588,Flood
2020,2860.7,0.08667457531793808,Normal
2021,2596.4,-0.6175606467689739,Normal
2022,2955.4,0.33900554592569754,Normal
2023,3302.4,1.2635973812043912,Flood
