year,precip_mm,sens_trend_mm,ols_trend_mm
1993,2646.9,2585.0818181818177,2598.1326612903213
1994,2280.9,2603.1545454545485,2613.4685483870962
1995,2533.9,2621.227272727272,2628.8044354838676
1996,3142.4,2639.300000000003,2644.1403225806425
1997,2291.9,2657.3727272727265,2659.4762096774175
1998,3532.5,2675.4454545454573,2674.8120967741925
1999,2466.0,2693.518181818181,2690.147983870964
2000,2403.5,2711.5909090909117,2705.4838709677388
2001,2904.8,2729.6636363636353,2720.8197580645137
2002,2128.0,2747.736363636366,2736.1556451612887
2003,3089.9,2765.8090909090897,2751.4915322580637
2004,2470.2,2783.8818181818206,2766.827419354835
2005,2407.3,2801.954545454544,2782.16330645161
2006,2695.7,2820.027272727275,2797.499193548385
2007,2959.9,2838.0999999999985,2812.83508064516
2008,2772.3,2856.1727272727294,2828.170967741935
2009,3287.2,2874.245454545453,2843.506854838706
2010,3154.2,2892.318181818184,2858.842741935481
2011,2684.7,2910.3909090909074,2874.178629032256
2012,3314.3,2928.463636363638,2889.514516129031
2013,3098.1,2946.536363636362,2904.8504032258024
2014,3130.4,2964.6090909090926,2920.1862903225774
2015,3035.3,2982.681818181816,2935.5221774193524
2016,2206.3,3000.754545454547,2950.8580645161273
2017,3145.9,3018.8272727272706,2966.1939516129023
2018,3036.9,3036.9000000000015,2981.5298387096736
2019,3139.0,3054.972727272725,2996.8657258064486
2020,2860.7,3073.045454545456,3012.2016129032236
2021,2596.4,3091.1181818181794,3027.5374999999985
2022,2955.4,3109.1909090909103,3042.8733870967735
2023,3302.4,3127.263636363634,3058.209274193545
