year,month,precip_mm
2000,1,34.56
2000,2,94.23
2000,3,66.4
2000,4,44.27
2000,5,55.88
2000,6,47.67
2000,7,39.11
2000,8,21.08
2000,9,43.97
2000,10,51.75
2000,11,34.11
2000,12,89.05
2001,1,75.11
2001,2,69.14
2001,3,50.01
2001,4,80.76
2001,5,74.29
2001,6,53.71
2001,7,43.91
2001,8,44.57
2001,9,20.58
2001,10,25.25
2001,11,33.45
2001,12,46.1
2002,1,63.83
2002,2,95.29
2002,3,114.24
2002,4,61.01
2002,5,83.5
2002,6,40.82
2002,7,43.64
2002,8,52.55
2002,9,36.74
2002,10,46.2
2002,11,39.75
2002,12,59.98
2003,1,60.14
2003,2,73.09
2003,3,94.99
2003,4,74.0
2003,5,116.74
2003,6,71.94
2003,7,37.54
2003,8,48.2
2003,9,26.87
2003,10,64.39
2003,11,26.03
2003,12,81.49
2004,1,48.31
2004,2,78.74
2004,3,86.64
2004,4,74.49
2004,5,36.53
2004,6,60.06
2004,7,30.89
2004,8,25.18
2004,9,32.98
2004,10,33.12
2004,11,33.68
2004,12,85.21
2005,1,38.66
2005,2,69.85
2005,3,96.58
2005,4,80.08
2005,5,86.87
2005,6,93.54
2005,7,38.85
2005,8,42.41
2005,9,18.11
2005,10,65.32
2005,11,30.67
2005,12,57.48
2006,1,80.54
2006,2,108.56
2006,3,81.28
2006,4,94.46
2006,5,71.5
2006,6,51.45
2006,7,36.29
2006,8,43.64
2006,9,27.07
2006,10,57.11
2006,11,33.7
2006,12,59.9
2007,1,60.84
2007,2,107.23
2007,3,68.39
2007,4,69.72
2007,5,74.95
2007,6,54.92
2007,7,30.58
2007,8,35.51
2007,9,25.93
2007,10,44.59
2007,11,26.69
2007,12,57.57
2008,1,53.77
2008,2,87.3
2008,3,52.2
2008,4,57.44
2008,5,69.9
2008,6,47.3
2008,7,35.05
2008,8,46.37
2008,9,22.28
2008,10,35.48
2008,11,37.32
2008,12,47.35
2009,1,68.17
2009,2,88.45
2009,3,67.62
2009,4,53.7
2009,5,85.62
2009,6,43.33
2009,7,31.58
2009,8,67.44
2009,9,26.17
2009,10,28.33
2009,11,32.91
2009,12,69.94
2010,1,70.36
2010,2,76.83
2010,3,55.51
2010,4,46.09
2010,5,56.98
2010,6,76.76
2010,7,53.24
2010,8,38.62
2010,9,23.84
2010,10,53.38
2010,11,39.19
2010,12,54.3
2011,1,53.27
2011,2,79.68
2011,3,89.06
2011,4,39.74
2011,5,79.97
2011,6,50.07
2011,7,53.11
2011,8,39.78
2011,9,32.12
2011,10,52.32
2011,11,36.65
2011,12,49.74
2012,1,50.44
2012,2,97.18
2012,3,80.32
2012,4,39.43
2012,5,76.38
2012,6,64.22
2012,7,46.19
2012,8,17.67
2012,9,8.16
2012,10,8.26
2012,11,20.81
2012,12,22.05
2013,1,21.99
2013,2,44.19
2013,3,44.56
2013,4,30.97
2013,5,25.38
2013,6,43.24
2013,7,34.55
2013,8,41.94
2013,9,36.67
2013,10,12.2
2013,11,18.76
2013,12,19.97
2014,1,21.98
2014,2,44.19
2014,3,44.6
2014,4,30.98
2014,5,47.67
2014,6,43.19
2014,7,34.57
2014,8,41.89
2014,9,36.65
2014,10,24.97
2014,11,18.79
2014,12,19.97
2015,1,21.97
2015,2,44.19
2015,3,44.59
2015,4,31.27
2015,5,47.6
2015,6,43.25
2015,7,34.59
2015,8,41.91
2015,9,36.55
2015,10,24.98
2015,11,18.76
2015,12,19.97
2016,1,21.99
2016,2,44.97
2016,3,46.14
2016,4,32.28
2016,5,49.16
2016,6,44.71
2016,7,34.78
2016,8,41.88
2016,9,36.88
2016,10,26.0
2016,11,18.81
2016,12,20.78
2017,1,
2017,2,
2017,3,
2017,4,
2017,5,
2017,6,
2017,7,
2017,8,
2017,9,
2017,10,
2017,11,
2017,12,
2018,1,53.37
2018,2,70.29
2018,3,57.7
2018,4,63.4
2018,5,54.62
2018,6,37.64
2018,7,22.76
2018,8,35.42
2018,9,31.55
2018,10,21.0
2018,11,26.53
2018,12,70.14
2019,1,52.91
2019,2,64.59
2019,3,46.77
2019,4,50.38
2019,5,54.86
2019,6,45.67
2019,7,34.45
2019,8,38.23
2019,9,18.27
2019,10,23.37
2019,11,38.38
2019,12,56.46
2020,1,45.84
2020,2,74.14
2020,3,65.32
2020,4,38.85
2020,5,68.97
2020,6,56.51
2020,7,34.68
2020,8,31.87
2020,9,16.61
2020,10,25.98
2020,11,34.69
2020,12,48.59
2021,1,69.17
2021,2,83.06
2021,3,49.12
2021,4,67.93
2021,5,46.28
2021,6,49.07
2021,7,34.59
2021,8,36.06
2021,9,16.97
2021,10,26.87
2021,11,22.46
2021,12,42.29
2022,1,48.07
2022,2,97.47
2022,3,49.94
2022,4,52.86
2022,5,46.26
2022,6,32.71
2022,7,39.86
2022,8,45.62
2022,9,22.88
2022,10,25.32
2022,11,16.24
2022,12,56.16
2023,1,41.71
2023,2,49.23
2023,3,70.96
2023,4,61.28
2023,5,52.62
2023,6,47.74
2023,7,42.12
2023,8,40.28
2023,9,25.28
2023,10,26.03
2023,11,22.06
2023,12,68.72
2024,1,27.61
2024,2,56.82
2024,3,81.47
2024,4,46.99
2024,5,64.09
2024,6,107.53
2024,7,34.6
2024,8,31.97
2024,9,15.91
2024,10,17.06
2024,11,26.29
2024,12,122.12
